vertexes,density,time,probability,result
2,0.7,0.001437533332904195,0,0.0
3,0.7,0.003484833333544657,0,0.0
4,0.7,0.007093066665930792,0,0.0
5,0.7,0.013865300000285666,0,0.0
6,0.7,0.02299169999938992,0,0.0
7,0.7,0.03722483333300867,0,0.0
8,0.7,0.05361116666691146,0,0.0
9,0.7,0.07721263333403765,0,0.0
10,0.7,0.10455000000083221,0,0.0
11,0.7,0.13850269999930256,0,0.0
12,0.7,0.17830269999995116,0,0.0
13,0.7,0.22926793333321407,0,0.0
14,0.7,0.28285143333282764,0,0.0
15,0.7,0.3489473333336453,0,0.0
16,0.7,0.4256096666660862,0,0.0
17,0.7,0.5128930333334836,0,0.0
18,0.7,0.5994875000006061,0,0.0
